Source,Target
LiftForever67,kateStrasdin
GailVazOxlade,kateStrasdin
neimanmarcus,WinObs
WinObs,ExchangeGoddess
WinObs,neimanmarcus
WinObs,BALENCIAGA
NYGELSARTORIAL,RihannaData
omidanabeni,OmidanCollect_
LifeOfNapaul,OmidanCollect_
Haeeshah_,OmidanCollect_
baIenciagajk,baIenciagakoo
blurboi,dexjennings98
NETAPORTER,BALENCIAGA
ash_kaashh,_gastt
agustdidas,ggukbbun
OscarMbo,OfentseZA
drunkenAndo,UnrealEngine
drunkenAndo,BALENCIAGA
unotaehyung,taendkooks
nikkilipstick,_gastt
ariiadnarz,_gastt
RejiYates,AngelNumberz
Miah_Loveee,_gastt
Insideandria,_gastt
tipatat,tomemrich
danacowley,UnrealEngine
danacowley,BALENCIAGA
UnrealEngine,BALENCIAGA
RhythmFMBenin,moniquedvibe
RhythmFMBenin,inna_ro
RhythmFMBenin,djfxng
BizzleBadBoi,bieber_closet
BizzleBadBoi,BALENCIAGA
AhniyahGold,shannon_sense
yourbiebernews,bieber_closet
yourbiebernews,BALENCIAGA
MANNN143,AgentPaloma
KEPANKEP,DjMaggBoy69
Marceline2174,AgentPaloma
nicodelort,AgentPaloma
leighalexander,AgentPaloma
nicolasvillar12,ninagarcia
nicolasvillar12,ELLEmagazine
nicolasvillar12,BALENCIAGA
triviaagguk,EBOYJE0N
ninagarcia,ELLEmagazine
ninagarcia,BALENCIAGA
springwise,LivneShahar
springwise,BALENCIAGA
boyfiejungoo,EBOYJE0N
Msmenalicious,ladyjayclothier
angieekulture,ladyjayclothier
AuntyMo_05,ladyjayclothier
themeredith,EytanSR
taeggukez,EBOYJE0N
dearloueh,EBOYJE0N
calumhollister,EBOYJE0N
sweethkim,EBOYJE0N
gcftsope,EBOYJE0N
heeseuphoria,EBOYJE0N
woahggukie,EBOYJE0N
Kayjnr10,cobbiesneaker
PEAJIMICHY,EBOYJE0N
ggukpaces,EBOYJE0N
gcfmov,EBOYJE0N
jeonsdiabao,EBOYJE0N
VMlNGlRL,EBOYJE0N
TammyTu78097268,MySalesRock
Mide0403,O_ssai
Mide0403,Mide0403
Mide0403,ishakaa
Mide0403,tfx47
Mide0403,iam_jibola8211
Mide0403,olusogaowoeye
Mide0403,Banjy47
Mide0403,iyaboawokoya
Mide0403,lollylarry1
Mide0403,SalmanDuke
Mide0403,OyesileJohn
darleenzakir,Iovejpeg
THEIMONATION,THEIMONATION
THEIMONATION,THEIMONATION
ariiadnarz,Iovejpeg
KissMeAgain99,Mellanie_29
juwaira___,SamuelGalax
mr_wemz,Kvng_Dela
LaDivinaDiva,TheCut
LaDivinaDiva,CathyHoryn
CrazeeFrench,Mellanie_29
norikoswitch,Mellanie_29
ofori_highest,Kvng_Dela
Fashionista_com,LouisVuitton
akosua_amoabea,Kvng_Dela
hybecom,bbyhooniie
Mjayjay_,SamuelGalax
davidllada,LouisVuitton
LuhMie_,sweetes_soul
Seankleann,sweetes_soul
dhinakaranrajan,SamuelGalax
SkinnyBoi001_,SamuelGalax
arahmeedhey,SamuelGalax
Oladapomikky,sweetes_soul
baddestcash_,sweetes_soul
BraAubrey,Pirano_Dj
thezoereport,LouisVuitton
deejayfaremi,SamuelGalax
orla_mide,SamuelGalax
fresh696,Mellanie_29
MercorOrg,MeloniFulvio
modareforma,FashionWeek
wordlybishop,SamuelGalax
omoiyabiola_,SamuelGalax
Sir_BiolaPr,SamuelGalax
theOnlyDoyin,SamuelGalax
abbeybrave,SamuelGalax
DrTONYAGBATOR,SamuelGalax
Longevity_Dan,SamuelGalax
____Gustav,SamuelGalax
DuchessSonia,SamuelGalax
zyngold,misayeon
Sweet__piccola,Mellanie_29
thetoluoflagos,SamuelGalax
chairmandike,SamuelGalax
joshuaodeyemi,SamuelGalax
dejiimole,SamuelGalax
Spend0Gustav0,SamuelGalax
solutiontweeted,SamuelGalax
Ayokasz,SamuelGalax
Ozikroh,SamuelGalax
Wizzfarukk,SamuelGalax
Jidetum,SamuelGalax
Tegadeyforyou,SamuelGalax
SteveCypha,SamuelGalax
Shenimk,SamuelGalax
Eleonoracarisi,LouisVuitton
Eleonoracarisi,TWNGhesquiere
Eleonoracarisi,FORNASETTIofcl
Eleonoracarisi,LouisVuitton
Eleonoracarisi,TWNGhesquiere
nicolasvillar12,FashionweekNYC
ilykseokjin,misayeon
modareforma,FashionweekNYC
SANAC0SMIC,misayeon
SteveJacksonVA,LouisVuitton
VogueRunway,LouisVuitton
Mr_Georgez,SamuelGalax
Itz__demola,ShopFeets_
thatgoddess____,SamuelGalax
KIWIBYUL,Hwajinniee
Kofi_Kwarteng,SamuelGalax
unkubob_,SamuelGalax
Itz_thoyyn,SamuelGalax
EJayOfLagos,SamuelGalax
billboard_twice,TWICE_VW
Danny_Walterr,ShopFeets_
omotayo__b,SamuelGalax
Starbioola,SamuelGalax
VogueRunway,LouisVuitton
VogueRunway,VogueRunway
VogueRunway,NicoleSPhelps
1954love_hate_,diorangxl
stormymomo,misayeon
Naplestan,LouisVuitton
jiggke,oncetwicebrasil
jiggke,JYPETWICE
jiggke,JYPETWICE
SHOWstudio,LouisVuitton
DIYMikes,TWICE_VW
Fashionista_com,LouisVuitton
mytwicepink,misayeon
mlado_30,SamuelGalax
Rania__rania___,Mellanie_29
stfuheights,SamuelGalax
king_koddy,SamuelGalax
UnscriptedIdara,SamuelGalax
nova937,ItsBennyBlanco
nova937,vancejoy
Arakunrin02,SamuelGalax
gannycoz,SamuelGalax
thayojoshua,SamuelGalax
Ummiee_,SamuelGalax
DRealIlorinBoy,SamuelGalax
Moyo_VIP,SamuelGalax
dayobabyy,SamuelGalax
Osas_BigEngine,SamuelGalax
dammiedammie35,SamuelGalax
iam_steveola,SamuelGalax
OwnDoctor,SamuelGalax
Eshin_buruku,SamuelGalax
nerdy_dami,SamuelGalax
sportbible,ShafiqIkwan
sportbible,sportbible
Mistakobz,SamuelGalax
minayeon_9,misayeon
AsapReplies,SamuelGalax
baddestcash_,SamuelGalax
OlamideQuadri4,SamuelGalax
tweetsbyspice,SamuelGalax
iamphveektor2,SamuelGalax
mommiez_gal,SamuelGalax
Moefire_,SamuelGalax
9_11_90s,SamuelGalax
_teazzy_,SamuelGalax
pengjeongnam,misayeon
nova1069,ItsBennyBlanco
nova1069,vancejoy
MeetOlamide,SamuelGalax
cutedeyforyou,SamuelGalax
iam_yourgrace,SamuelGalax
NouveauDeco,NouveauDeco
Klatsa_,SamuelGalax
haylesoflagos,SamuelGalax
Talk2_lowell,SamuelGalax
karrenbabe01,SamuelGalax
Tegadeyforyou,SamuelGalax
bigdaddyvinz,SamuelGalax
iam_kiddee,SamuelGalax
iam__remy,SamuelGalax
aystickz,SamuelGalax
ImranSZN,SamuelGalax
_oluwatobiiiii,SamuelGalax
ManLike_Nesta,SamuelGalax
SaySemiloore,SamuelGalax
Capt__Rizzy,SamuelGalax
kayzywizzzy,SamuelGalax
ayamkumputa,SamuelGalax
YorubaBoy__,SamuelGalax
nova919,ItsBennyBlanco
nova919,vancejoy
nova100,ItsBennyBlanco
nova100,vancejoy
nova969,ItsBennyBlanco
nova969,vancejoy
Smallzy,ItsBennyBlanco
Smallzy,vancejoy
gailcarriger,gailcarriger
phil_hellmuth,RemkoRinkema
phil_hellmuth,PokerGO
phil_hellmuth,WPT
tonidoodles,misayeon
SERENDlPITTY,misayeon
Mantra254,PopCrave
Mantra254,ladygaga
evolelizabeth,TheKimbino
omeretta4l,breerunway
DevinCow,kathygriffin
blurboi,LaMaisonGaga_
blurboi,Variety_Film
kaileidoscope14,INTLKJI
kaileidoscope14,KaiNationUnion_
kaileidoscope14,KaiNationUnion_
kaileidoscope14,INTLKJI
blurboi,getFANDOM
blurboi,ladygaga
blurboi,henrydelrey
blurboi,Variety
MANvsGAME,OpusAoA
MRBRIGHTSIDE94,kaileidoscope14
MRBRIGHTSIDE94,kaileidoscope14
feistyfrank,tim__fitzgerald
KaiNationUnion_,Dazed
KaiNationUnion_,thefashionisto
KaiNationUnion_,gucci
evelynvwoodsen,bronze_bombSHEL
bentarabumi,hey_louie
yaboiaaa,ladygaga
PlumAlyssum,EXOXOXOID
Ange_GMM,usatodaylife
PlumAlyssum,EXOXOXOID
HalessiaR,ArthurDomingues
HalessiaR,HalessiaR
EXOfanfess,weareoneEXO
kaileidoscope14,INTLKJI
cyberpr,IAMFASHlON
GetVidBot,Rocsi_Gucci
ETCanada,ladygaga
PatelDevansh,ladygaga
joecimperman,rebeccaarubin
TheMusicSydney,TheMusicComAu
TheMusicMelb,TheMusicComAu
kaileidoscope14,thefashionisto
kaileidoscope14,gucci
kaileidoscope14,Dazed
kaileidoscope14,NYCTastemakers
kaileidoscope14,gucci
EMBOBAD0,EW
Kielhoilett,mpressria
TweetiepieHawly,rebeccaarubin
nikkilipstick,PopBase
girlslovekiyoko,HayleyKiyoko
lauriecrosswell,Variety
everthing_y,Alexand37205786
crashpalace,Variety
freguesto,luguimaraes78
realmrkash,realmrkash
Ange_GMM,PopBase
LuxeTiffany,abbyemonteil
RachelFeltman,juliaccarpenter
Hereiam_cafe,NYCTastemakers
Hereiam_cafe,gucci
Hereiam_cafe,thefashionisto
Hereiam_cafe,gucci
diesgu,billboard
diesgu,ladygaga
blurboi,ComplexPop
blurboi,ladygaga
blurboi,LaMaisonGaga_
BRANDONHILTON,Variety
kentoyiie,fkanico
diante_minaj,PopCrave
diante_minaj,ladygaga
denisewu,cmclymer
marinashutup,northgalis
ohsorafa,breerunway
Shenanigans_luv,mosscj2
RobertoGCarmona,FilmstoFilms_
RobertoGCarmona,ladygaga
StephenBright,IAMFASHlON
ClarissaMBrooks,Oprah_Gucci
TwizleyIconix,PopCrave
TwizleyIconix,ladygaga
stuckonfknyou,henrydelrey
straits_times,ST_LifeTweets
Hereiam_cafe,Dazed
ClarissaMBrooks,Oprah_Gucci
brancowitz,esquire
abc7george,Variety
EMBOBAD0,PopCrave
EMBOBAD0,ladygaga
EMBOBAD0,Variety
NickiSwiftCeleb,ladygaga
steventeaster,gucci
steventeaster,SanremoRai
steventeaster,AchilleIDOL
steventeaster,steventeaster
steventeaster,gucci
steventeaster,SanremoRai
steventeaster,AchilleIDOL
SlayMeQueenGaga,fkanico
TheBookofGinko,DiscussingFilm
blurboi,EW
Complex,ComplexPop
SueLMH17,IAMFASHlON
mystifiedLaLa,breerunway
Ange_GMM,hunteryharris
WrittenByHanna,hunteryharris
ohsorafa,PopBase
ohsorafa,Variety
